service_type,year,month,pickup_datetime,dropoff_datetime,pickup_hour,day_of_week,PULocationID,DOLocationID,trip_distance_miles,trip_duration_seconds,cbd_congestion_fee,charged_cbd_flag,passenger_cost_pretip,relative_cbd_burden,congestion_surcharge,tolls,airport_fee,source_file
hvfhv,2024,2,2/27/2024 21:35,2/27/2024 22:05,21,1,158,263,6.16,1796,0,FALSE,59.73,0,2.75,0,0,data/raw/2024/Feb/fhvhv_tripdata_2024-02.parquet
hvfhv,2024,2,2/28/2024 4:23,2/28/2024 4:35,4,2,225,36,1.656,731,0,FALSE,13.79,0,0,0,0,data/raw/2024/Feb/fhvhv_tripdata_2024-02.parquet
hvfhv,2024,2,2/28/2024 8:15,2/28/2024 8:30,8,2,237,239,2.21,877,0,FALSE,23.53,0,2.75,0,0,data/raw/2024/Feb/fhvhv_tripdata_2024-02.parquet
hvfhv,2024,2,2/28/2024 8:26,2/28/2024 8:46,8,2,68,142,2.02,1198,0,FALSE,27.94,0,2.75,0,0,data/raw/2024/Feb/fhvhv_tripdata_2024-02.parquet
hvfhv,2024,3,3/16/2024 11:30,3/16/2024 11:55,11,5,88,237,6.235,1500,0,FALSE,38.99,0,2.75,0,0,data/raw/2024/Mar/fhvhv_tripdata_2024-03.parquet
hvfhv,2024,3,3/16/2024 13:01,3/16/2024 13:17,13,5,255,33,4.02,975,0,FALSE,31.88,0,0,0,0,data/raw/2024/Mar/fhvhv_tripdata_2024-03.parquet
hvfhv,2024,3,3/16/2024 20:18,3/16/2024 21:04,20,5,132,233,17.54,2762,0,FALSE,82.98,0,2.75,0,2.5,data/raw/2024/Mar/fhvhv_tripdata_2024-03.parquet
hvfhv,2024,3,3/17/2024 0:01,3/17/2024 0:50,0,6,138,123,17.84,2931,0,FALSE,77.71,0,0,0,2.5,data/raw/2024/Mar/fhvhv_tripdata_2024-03.parquet
hvfhv,2024,3,3/17/2024 9:41,3/17/2024 9:52,9,6,143,48,0.97,668,0,FALSE,13.3,0,2.75,0,0,data/raw/2024/Mar/fhvhv_tripdata_2024-03.parquet
hvfhv,2024,4,4/3/2024 7:48,4/3/2024 8:20,7,2,250,168,5.08,1902,0,FALSE,39.89,0,0,0,0,data/raw/2024/Apr/fhvhv_tripdata_2024-04.parquet
hvfhv,2024,4,4/3/2024 8:39,4/3/2024 8:47,8,2,170,100,1.07,488,0,FALSE,21.4,0,2.75,0,0,data/raw/2024/Apr/fhvhv_tripdata_2024-04.parquet
hvfhv,2024,4,4/3/2024 11:47,4/3/2024 11:54,11,2,220,200,1.98,433,0,FALSE,11.52,0,0,0,0,data/raw/2024/Apr/fhvhv_tripdata_2024-04.parquet
hvfhv,2024,4,4/3/2024 16:02,4/3/2024 16:17,16,2,157,160,2.459,876,0,FALSE,16.99,0,0,0,0,data/raw/2024/Apr/fhvhv_tripdata_2024-04.parquet
hvfhv,2024,4,4/3/2024 18:03,4/3/2024 18:16,18,2,79,158,1.47,735,0,FALSE,41.58,0,2.75,0,0,data/raw/2024/Apr/fhvhv_tripdata_2024-04.parquet
hvfhv,2024,4,4/4/2024 1:42,4/4/2024 1:56,1,3,142,239,2.48,829,0,FALSE,23.02,0,2.75,0,0,data/raw/2024/Apr/fhvhv_tripdata_2024-04.parquet
hvfhv,2024,5,5/4/2024 9:07,5/4/2024 9:27,9,5,112,261,6.56,1230,0,FALSE,38.11,0,2.75,0,0,data/raw/2024/May/fhvhv_tripdata_2024-05.parquet
hvfhv,2024,5,5/4/2024 11:52,5/4/2024 12:29,11,5,37,234,6.2,2219,0,FALSE,44.51,0,2.75,0,0,data/raw/2024/May/fhvhv_tripdata_2024-05.parquet
hvfhv,2024,5,5/4/2024 11:52,5/4/2024 12:05,11,5,75,263,1.29,754,0,FALSE,14.37,0,2.75,0,0,data/raw/2024/May/fhvhv_tripdata_2024-05.parquet
hvfhv,2024,5,5/4/2024 18:32,5/4/2024 18:36,18,5,75,236,0.86,238,0,FALSE,13.67,0,2.75,0,0,data/raw/2024/May/fhvhv_tripdata_2024-05.parquet
hvfhv,2024,5,5/4/2024 22:04,5/4/2024 22:43,22,5,151,80,10.37,2327,0,FALSE,46.77,0,2.75,0,0,data/raw/2024/May/fhvhv_tripdata_2024-05.parquet
hvfhv,2024,6,6/1/2024 15:33,6/1/2024 16:12,15,5,234,80,4.701,2361,0,FALSE,60.14,0,2.75,0.23,0,data/raw/2024/June/fhvhv_tripdata_2024-06.parquet
hvfhv,2024,6,6/1/2024 18:28,6/1/2024 18:45,18,5,125,234,2.32,1011,0,FALSE,69.05,0,2.75,0,0,data/raw/2024/June/fhvhv_tripdata_2024-06.parquet
hvfhv,2024,6,6/1/2024 19:06,6/1/2024 19:25,19,5,190,89,3.17,1120,0,FALSE,19.23,0,0,0,0,data/raw/2024/June/fhvhv_tripdata_2024-06.parquet
hvfhv,2024,6,6/2/2024 0:59,6/2/2024 1:12,0,6,220,18,2.56,781,0,FALSE,12.23,0,0,0,0,data/raw/2024/June/fhvhv_tripdata_2024-06.parquet
hvfhv,2024,6,6/2/2024 10:30,6/2/2024 10:47,10,6,137,237,1.737,1000,0,FALSE,17.99,0,2.75,0,0,data/raw/2024/June/fhvhv_tripdata_2024-06.parquet
